LocationID,taxiName,mapName,Borough,xID,longitude,latitude
180,Ozone Park,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.85073,40.67941
181,Park Slope,South Slope,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/South_Slope,-73.98142,40.67107
182,Parkchester,Unionport,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Unionport,-73.85661,40.83825
183,Pelham Bay,Pelham Gardens,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Gardens,-73.83333,40.85056
184,Pelham Bay Park,Pelham Islands,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Islands,-73.82706,40.85293
185,Pelham Parkway,Pelham Gardens,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Gardens,-73.86396,40.85533
186,Penn Station/Madison Sq West,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown,-73.99344,40.7505
187,Port Richmond,Randall Manor,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Randall_Manor,-75.10635,39.98852
188,Prospect-Lefferts Gardens,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights,-73.95339,40.65924
189,Prospect Heights,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights,-73.96684,40.67742
190,Prospect Park,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights,-73.96896,40.6602
191,Queens Village,Hollis Hills,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills,-73.7419,40.71566
192,Queensboro Hill,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park,-73.83308,40.7675
193,Queensbridge/Ravenswood,Long Island City,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Long_Island_City,-73.94567,40.75567
194,Randalls Island,Randall's Island,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Randall_s_Island,-73.92129,40.79323
195,Red Hook,South Slope,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/South_Slope,-74.00832,40.67337
196,Rego Park,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park,-73.86249,40.72557
197,Richmond Hill,Briarwood,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Briarwood,-81.30344,31.93827
198,Ridgewood,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park,-74.11653,40.97926
199,Rikers Island,--,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/North_Riverdale,-73.88601,40.79313
200,Riverdale/North Riverdale/Fieldston,North Riverdale,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/North_Riverdale,-73.90365,40.90905
201,Rockaway Park,Belle Harbor,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Belle_Harbor,-73.83722,40.57979
202,Roosevelt Island,Upper East Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_East_Side,-73.95099,40.7605
203,Rosedale,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens,-73.73896,40.65841
204,Rossville/Woodrow,Rossville,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Rossville,-74.19764,40.54344
205,Saint Albans,Hollis Hills,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills,-81.81917,38.37937
206,Saint George/New Brighton,St. George,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/St_George,-74.08613,40.64584
207,Saint Michaels Cemetery/Woodside,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park,-73.8985,40.76468
208,Schuylerville/Edgewater Park,Schuylerville,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Schuylerville,-73.82722,40.82889
209,Seaport,Two Bridges,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Two_Bridges,-74.00355,40.70707
210,Sheepshead Bay,Marine Park,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Marine_Park,-73.94575,40.5954
211,SoHo,Nolita,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Nolita,-74.00299,40.7233
212,Soundview/Bruckner,Soundview,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Soundview,-73.87109,40.82476
